,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
1312924,XMRqG,1k3r2/1pp5/p6p/6p1/1P4P1/P7/6PP/2Q2r1K w - - 0 37,c1f1 f8f1,598,127,47,58,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/2uH6a7bv#73
36688,0wDXm,rnbqk2r/pp2ppbp/6p1/2p1P2n/2B5/5N2/PPPP2PP/RNBQ1RK1 w kq - 1 8,c4f7 e8f7,598,124,5,115,advantage hangingPiece oneMove opening,https://lichess.org/h2Hxi4Tn#15
1569143,dqs1D,8/1p6/pr4R1/5pKp/1P2k2P/P5P1/8/8 b - - 0 52,b6g6 g5g6,598,133,50,40,crushing endgame oneMove,https://lichess.org/REafCsal/black#104
1948389,nU4OR,4r1k1/pp5p/5p2/8/8/2Np1BPb/PP1R1P1P/6K1 w - - 5 30,c3d5 e8e1,598,107,64,78,endgame mate mateIn1 oneMove,https://lichess.org/efEwbWSp#59
1481369,bczFF,q7/1kp5/1p6/2p2p2/2P2B2/1P4P1/P3RK2/8 b - - 25 47,b7c8 e2e8 c8b7 e8a8,598,96,-5,109,crushing endgame master short skewer,https://lichess.org/F4OPjjIl/black#94
1806530,jt12M,8/8/2pkb1R1/4p3/p2pP1p1/P2P2P1/1PR3K1/3r4 w - - 7 49,g6e6 d6e6,598,125,29,31,advantage endgame hangingPiece oneMove rookEndgame,https://lichess.org/8jax67hy#97
736824,IhAMK,1r1qk2r/p2bnpbp/3p2p1/2pB4/5N2/4P3/PPPP2PP/R1BQ1RK1 w k - 5 14,d5f7 e8f7,598,104,-29,157,advantage hangingPiece oneMove opening,https://lichess.org/cWTribHK#27
2267512,vbTia,6k1/5pp1/p2R3p/3pr3/2p5/N7/PP4PP/1R2r2K w - - 4 28,b1e1 e5e1,599,111,47,64,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/IHxiaDvg#55
912557,NArjD,r3kbnr/ppp1pppp/2n5/8/2BqQ3/8/PPPP1PPP/R1B1K1NR w KQkq - 3 7,c4f7 e8f7,599,126,41,54,advantage hangingPiece oneMove opening,https://lichess.org/dnOYmN0q#13
1050760,Qh01U,r1q3k1/1ppb1pp1/p2p1b1p/3Br3/P3P3/2PP3P/1P1N2P1/R2Q1RK1 w - - 0 17,d5f7 g8f7,599,101,33,58,advantage hangingPiece middlegame oneMove,https://lichess.org/mV5ZCc96#33
1517835,cYCF2,r2qk2r/pp1bppbp/2np1np1/8/2B1P3/2N2N2/PPP2PPP/R1BQK2R w KQkq - 2 9,c4f7 e8f7,599,115,36,57,advantage hangingPiece oneMove opening,https://lichess.org/GLpr87ul#17
1559598,dbnLQ,r2qkb1r/pp1n1ppb/2p1pn1p/7P/3P4/4BNN1/PPPQ1PP1/2KR1B1R b kq - 3 11,d8a5 d2a5,599,104,50,69,crushing hangingPiece oneMove opening,https://lichess.org/y5kmoGCb/black#22
1922950,mqTLo,r1b1k1nr/1pqnbppp/p1p5/4p3/2B1PB2/2N2N2/PPP1QPPP/R4RK1 w kq - 0 10,c4f7 e8f7,599,124,50,50,advantage hangingPiece middlegame oneMove,https://lichess.org/TMHfD0nK#19
1892768,m4NCa,4k2r/5p2/p2B1Pp1/3RP3/8/1P4Pp/P6P/2r4K w k - 1 35,d5d1 c1d1,599,124,50,60,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/JGnKZaOz#69
518361,D9kRw,rnbqk2r/pppp1ppp/5n2/2b1p1B1/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 2 4,c5f2 e1f2,599,121,52,65,advantage hangingPiece oneMove opening,https://lichess.org/TqFym6Ap/black#8
